checked_date,x,rows,terminal,terminal_rate,open_rows,head_profile,site_profile,examples
2026-05-31,000,27,24/27,0.889,3,000:3;575:3;817:3;031:2;820:2;861:2;095:1;220:1;267:1;296:1;297:1;416:1;435:1;452:1;520:1;700:1;703:1;892:1,Mohenjo-daro:9;Harappa:8;Kalibangan:3;Nausharo:2;Allahdino:1;Dholavira:1;Rakhigarhi:1;Shikarpur:1;Tepe Yahya:1,Ad-8:861-000-<END> | H-1038:297-000-<END> | H-2338:575-000-<END> | -:617.1:575-000-<END> | H-78:575-000-<END> | H-461:452-000-<END> | H-593:220-000-<END> | H-609:817-000-<END>
2026-05-31,350,7,3/7,0.429,4,297:2;000:1;031:1;125:1;300:1;301:1,Mohenjo-daro:5;Bala-kot:1;Nausharo:1,Blk-1:297-350-125 413 | M-49:300-350-032 190 | M-106:000-350-<END> | M-242:301-350-<END> | M-251:125-350-<END> | M-739:031-350-550 692 | Ns-60:297-350-125 413
2026-05-31,634,1,1/1,1.000,0,368:1,Bala-kot:1,Blk-2:368-634-<END>
2026-05-31,550,4,2/4,0.500,2,207:1;257:1;365:1;368:1,Banawali:1;Baror:1;Dholavira:1;Mohenjo-daro:1,B-1:368-550-821 | -:216.1:257-550-<END> | M-82:207-550-390 | -:4196.1:365-550-<END>
2026-05-31,072,2,2/2,1.000,0,308:1;390:1,Banawali:1;Harappa:1,B-17:308-072-<END> | H-68:390-072-<END>
2026-05-31,003,3,1/3,0.333,2,900:2;906:1,Mohenjo-daro:2;Chanhu-daro:1,C-71:906-003-<END> | M-958:900-003-590 | M-979:900-003-590
2026-05-31,530,4,0/4,0.000,4,296:1;299:1;390:1;705:1,Chanhu-daro:1;Dholavira:1;Harappa:1;Mohenjo-daro:1,C-57:296-530-000 | H-773:390-530-741 | M-623:299-530-820 | -:4182.1:705-530-904
2026-05-31,287,1,0/1,0.000,1,365:1,Chanhu-daro:1,C-1:365-287-034
2026-05-31,317,5,4/5,0.800,1,920:3;000:1;727:1,Mohenjo-daro:2;Chanhu-daro:1;Lothal:1;Rakhigarhi:1,C-3:920-317-<END> | L-190:920-317-<END> | M-44:920-317-<END> | M-308:727-317-<END> | -:5468.1:000-317-688
2026-05-31,741,4,4/4,1.000,0,298:2;820:2,Mohenjo-daro:2;Chanhu-daro:1;Unknown:1,C-5:298-741-<END> | M-160:820-741-<END> | M-1119:820-741-<END> | -:5572.1:298-741-<END>
2026-05-31,500,1,1/1,1.000,0,031:1,Chanhu-daro:1,C-6:031-500-<END>
2026-05-31,740,1,1/1,1.000,0,892:1,Desalpur:1,Dlp-3:892-740-<END>
2026-05-31,032,7,4/7,0.571,3,168:1;172:1;305:1;817:1;840:1;861:1;862:1,Mohenjo-daro:4;Harappa:3,H-1033:862-032-<END> | H-272:305-032-904 | H-455:172-032-<END> | M-1791:840-032-<END> | M-1661:861-032-520 919 140 | M-1159:168-032-<END> | M-1391:817-032-320
2026-05-31,491,3,3/3,1.000,0,285:1;850:1;920:1,Harappa:1;Kalibangan:1;Mohenjo-daro:1,H-811:920-491-<END> | K-28:285-491-<END> | M-325:850-491-<END>
2026-05-31,455,8,2/8,0.250,6,220:5;267:1;590:1;741:1,Mohenjo-daro:5;Harappa:3,H-1874:220-455-000 | H-82:220-455-741 | H-268:220-455-920 | M-10:267-455-<END> | M-29:220-455-503 | M-147:220-455-520 | M-761:741-455-125 | M-1909:590-455-<END>
