cisi,lipi_id,mayig_side_id,lipi_dir,lipi_length,position_0based,position_1based,position_class,lipi_sign,mayig_sign,lipi_left,lipi_right,mayig_left,mayig_right,evidence_status
M-1,2531.1,M-1A,R/L,5,0,1,initial,001,P121,<s>,368,<s>,P202,provisional_position_alignment_only
M-1,2531.1,M-1A,R/L,5,1,2,medial,368,P202,001,861,P121,P385,provisional_position_alignment_only
M-1,2531.1,M-1A,R/L,5,2,3,medial,861,P385,368,255,P202,P073,provisional_position_alignment_only
M-1,2531.1,M-1A,R/L,5,3,4,medial,255,P073,861,371,P385,P108,provisional_position_alignment_only
M-1,2531.1,M-1A,R/L,5,4,5,terminal,371,P108,255,</s>,P073,</s>,provisional_position_alignment_only
M-3,2532.1,M-3A,R/L,3,0,1,initial,717,P320,<s>,032,<s>,P145,provisional_position_alignment_only
M-3,2532.1,M-3A,R/L,3,1,2,medial,032,P145,717,521,P320,P094,provisional_position_alignment_only
M-3,2532.1,M-3A,R/L,3,2,3,terminal,521,P094,032,</s>,P145,</s>,provisional_position_alignment_only
M-5,2534.1,M-5A,R/L,6,0,1,initial,740,P324,<s>,773,<s>,P096,provisional_position_alignment_only
M-5,2534.1,M-5A,R/L,6,1,2,medial,773,P096,740,240,P324,P062,provisional_position_alignment_only
M-5,2534.1,M-5A,R/L,6,2,3,medial,240,P062,773,235,P096,P060,provisional_position_alignment_only
M-5,2534.1,M-5A,R/L,6,3,4,medial,235,P060,240,060,P062,P120,provisional_position_alignment_only
M-5,2534.1,M-5A,R/L,6,4,5,medial,060,P120,235,692,P060,P256,provisional_position_alignment_only
M-5,2534.1,M-5A,R/L,6,5,6,terminal,692,P256,060,</s>,P120,</s>,provisional_position_alignment_only
M-6,2535.1,M-6A,R/L,4,0,1,initial,820,P378,<s>,880,<s>,P384,provisional_position_alignment_only
M-6,2535.1,M-6A,R/L,4,1,2,medial,880,P384,820,065,P378,P201,provisional_position_alignment_only
M-6,2535.1,M-6A,R/L,4,2,3,medial,065,P201,880,244,P384,P065,provisional_position_alignment_only
M-6,2535.1,M-6A,R/L,4,3,4,terminal,244,P065,065,</s>,P201,</s>,provisional_position_alignment_only
M-8,2537.1,M-8A,R/L,3,0,1,initial,706,P316,<s>,140,<s>,P011,provisional_position_alignment_only
M-8,2537.1,M-8A,R/L,3,1,2,medial,140,P011,706,632,P316,P270,provisional_position_alignment_only
M-8,2537.1,M-8A,R/L,3,2,3,terminal,632,P270,140,</s>,P011,</s>,provisional_position_alignment_only
M-9,2538.1,M-9A,R/L,3,0,1,initial,031,P144,<s>,311,<s>,P205,provisional_position_alignment_only
M-9,2538.1,M-9A,R/L,3,1,2,medial,311,P205,031,745,P144,P327,provisional_position_alignment_only
M-9,2538.1,M-9A,R/L,3,2,3,terminal,745,P327,311,</s>,P205,</s>,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,0,1,initial,740,P324,<s>,390,<s>,P086,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,1,2,medial,390,P086,740,590,P324,P276,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,2,3,medial,590,P276,390,233,P086,P058,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,3,4,medial,233,P058,590,002,P276,P122,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,4,5,medial,002,P122,233,368,P058,P202,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,5,6,medial,368,P202,002,202,P122,P386,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,6,7,medial,202,P386,368,892,P202,P182,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,7,8,medial,892,P182,202,371,P386,P108,provisional_position_alignment_only
M-12,2540.1,M-12A,R/L,9,8,9,terminal,371,P108,892,</s>,P182,</s>,provisional_position_alignment_only
M-13,2541.1,M-13A,R/L,3,0,1,initial,368,P202,<s>,304,<s>,P205,provisional_position_alignment_only
M-13,2541.1,M-13A,R/L,3,1,2,medial,304,P205,368,125,P202,P035,provisional_position_alignment_only
M-13,2541.1,M-13A,R/L,3,2,3,terminal,125,P035,304,</s>,P205,</s>,provisional_position_alignment_only
M-14,2542.1,M-14A,R/L,5,0,1,initial,740,P324,<s>,776,<s>,P117,provisional_position_alignment_only
M-14,2542.1,M-14A,R/L,5,1,2,medial,776,P117,740,503,P324,P210,provisional_position_alignment_only
M-14,2542.1,M-14A,R/L,5,2,3,medial,503,P210,776,002,P117,P122,provisional_position_alignment_only
M-14,2542.1,M-14A,R/L,5,3,4,medial,002,P122,503,817,P210,P385,provisional_position_alignment_only
M-14,2542.1,M-14A,R/L,5,4,5,terminal,817,P385,002,</s>,P122,</s>,provisional_position_alignment_only
M-15,2543.1,M-15A,R/L,5,0,1,initial,090,P013,<s>,740,<s>,P324,provisional_position_alignment_only
M-15,2543.1,M-15A,R/L,5,1,2,medial,740,P324,090,176,P013,P194,provisional_position_alignment_only
M-15,2543.1,M-15A,R/L,5,2,3,medial,176,P194,740,002,P324,P122,provisional_position_alignment_only
M-15,2543.1,M-15A,R/L,5,3,4,medial,002,P122,176,861,P194,P385,provisional_position_alignment_only
M-15,2543.1,M-15A,R/L,5,4,5,terminal,861,P385,002,</s>,P122,</s>,provisional_position_alignment_only
M-16,2544.1,M-16A,R/L,4,0,1,initial,820,P378,<s>,130,<s>,P026,provisional_position_alignment_only
M-16,2544.1,M-16A,R/L,4,1,2,medial,130,P026,820,035,P378,P151,provisional_position_alignment_only
M-16,2544.1,M-16A,R/L,4,2,3,medial,035,P151,130,171,P026,P346,provisional_position_alignment_only
M-16,2544.1,M-16A,R/L,4,3,4,terminal,171,P346,035,</s>,P151,</s>,provisional_position_alignment_only
M-17,2545.1,M-17A,R/L,5,0,1,initial,390,P086,<s>,016,<s>,P126,provisional_position_alignment_only
M-17,2545.1,M-17A,R/L,5,1,2,medial,016,P126,390,002,P086,P122,provisional_position_alignment_only
M-17,2545.1,M-17A,R/L,5,2,3,medial,002,P122,016,814,P126,P369,provisional_position_alignment_only
M-17,2545.1,M-17A,R/L,5,3,4,medial,814,P369,002,560,P122,P232,provisional_position_alignment_only
M-17,2545.1,M-17A,R/L,5,4,5,terminal,560,P232,814,</s>,P369,</s>,provisional_position_alignment_only
M-18,2546.1,M-18A,R/L,3,0,1,initial,932,P341,<s>,740,<s>,P324,provisional_position_alignment_only
M-18,2546.1,M-18A,R/L,3,1,2,medial,740,P324,932,055,P341,P142,provisional_position_alignment_only
M-18,2546.1,M-18A,R/L,3,2,3,terminal,055,P142,740,</s>,P324,</s>,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,0,1,initial,350,P091,<s>,001,<s>,P121,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,1,2,medial,001,P121,350,740,P091,P324,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,2,3,medial,740,P324,001,362,P121,P272,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,3,4,medial,362,P272,740,692,P324,P256,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,4,5,medial,692,P256,362,032,P272,P145,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,5,6,medial,032,P145,692,002,P256,P122,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,6,7,medial,002,P122,032,861,P145,P385,provisional_position_alignment_only
M-21,2549.1,M-21A,R/L,8,7,8,terminal,861,P385,002,</s>,P122,</s>,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,0,1,initial,090,P013,<s>,740,<s>,P324,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,1,2,medial,740,P324,090,240,P013,P062,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,2,3,medial,240,P062,740,235,P324,P060,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,3,4,medial,235,P060,240,002,P062,P122,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,4,5,medial,002,P122,235,906,P060,P174,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,5,6,medial,906,P174,002,140,P122,P011,provisional_position_alignment_only
M-24,2552.1,M-24A,R/L,7,6,7,terminal,140,P011,906,</s>,P174,</s>,provisional_position_alignment_only
M-26,2554.1,M-26A,R/L,5,0,1,initial,090,P013,<s>,740,<s>,P324,provisional_position_alignment_only
M-26,2554.1,M-26A,R/L,5,1,2,medial,740,P324,090,531,P013,P228,provisional_position_alignment_only
M-26,2554.1,M-26A,R/L,5,2,3,medial,531,P228,740,060,P324,P120,provisional_position_alignment_only
M-26,2554.1,M-26A,R/L,5,3,4,medial,060,P120,531,692,P228,P256,provisional_position_alignment_only
M-26,2554.1,M-26A,R/L,5,4,5,terminal,692,P256,060,</s>,P120,</s>,provisional_position_alignment_only
M-29,2557.1,M-29A,R/L,9,0,1,initial,740,P324,<s>,055,<s>,P142,provisional_position_alignment_only
M-29,2557.1,M-29A,R/L,9,1,2,medial,055,P142,740,240,P324,P062,provisional_position_alignment_only
M-29,2557.1,M-29A,R/L,9,2,3,medial,240,P062,055,235,P142,P060,provisional_position_alignment_only
M-29,2557.1,M-29A,R/L,9,3,4,medial,235,P060,240,806,P062,P364,provisional_position_alignment_only
